O,D,flow,dist
3,0,0,10.50310107960947
3,1,0,1.722514910808142
3,2,0,12.41460893667614
3,3,0,0.0
3,4,0,11.487188451141305
3,5,0,11.611086747154589
3,6,0,11.850548791895948
3,7,0,4.507985064736615
3,8,0,9.168473363927673
3,9,0,7.182113154031253
3,10,0,11.4283382712213
3,11,0,7.40242351823277
3,12,0,28.74739379632139
3,13,0,6.1661145173937655
3,14,0,7.895817951790847
3,15,0,16.255853446644647
3,16,0,14.701234075031877
3,17,0,2.2835406478923304
3,18,0,25.72865730483655
3,19,0,16.51196513111646
3,20,0,18.187719698819436
3,21,0,29.038080530832122
3,22,0,8.284684142458106
3,23,0,19.961892570010562
3,24,0,32.00073802202055
3,25,0,18.777452973481925
3,26,0,25.0501981640778
3,27,0,13.273146813578506
3,28,0,14.86062691698514
3,29,0,21.37758058990443
3,30,0,2.9830766250256087
3,31,0,15.821843281564323
3,32,0,16.16540134831736
3,33,0,8.785772685373866
3,34,0,3.774180446358807
3,35,0,16.81345052057455
3,36,0,8.650038904909907
3,37,0,6.077268833807911
3,38,0,10.539472001959421
3,39,0,19.43677172642533
3,40,0,12.45971239364301
3,41,0,10.7523419645917
3,42,0,16.930655560052013
3,43,0,22.313676506823175
3,44,0,12.69258279860043
3,45,0,9.894904793097258
3,46,0,5.99277092460746
3,47,0,2.5552539739830262
3,48,0,14.881287353673672
3,49,0,14.752802571017943
3,50,0,12.159124418047115
3,51,0,9.834238695849361
3,52,0,13.455915707910428
3,53,0,14.74073300083724
3,54,0,19.163917604969924
3,55,0,19.789564142545963
3,56,0,13.371073950260762
3,57,0,9.707418705855202
3,58,0,24.070659025989656
3,59,0,9.721424884356583
3,60,0,2.61696097116485
3,61,0,20.317008326459664
3,62,0,14.069942895909467
3,63,0,5.445240570125486
3,64,0,8.733485814248189
3,65,0,15.191883421930136
3,66,0,8.215971044489516
3,67,0,13.77444807799498
3,68,0,8.315709500359802
3,69,0,18.479788899610394
3,70,0,11.09856897854869
3,71,0,6.570494509406717
3,72,0,10.21853450457277
3,73,0,11.740464719339933
3,74,0,7.404999494175778
3,75,0,12.584700480678153
3,76,0,16.14031431617205
3,77,0,17.156562925962934
3,78,0,13.29032179620112
3,79,0,12.207373258719912
3,80,0,26.448160452663725
3,81,0,4.956344636128046
3,82,0,12.367620981412218
3,83,0,4.435073056131798
3,84,0,4.662494777385849
3,85,0,7.307547233077282
3,86,0,10.251545808200298
3,87,0,17.639431776168752
3,88,0,3.6856985880081727
3,89,0,26.522565938318042
3,90,0,23.975405632288602
3,91,0,12.959037219491123
3,92,0,15.701720841009895
3,93,0,12.475533797448483
3,94,0,4.621005582770906
3,95,0,11.244242824020183
3,96,0,4.577048782238794
3,97,0,13.361129300490342
4,0,0,16.013893122659464
4,1,0,12.518224664885137
4,2,0,14.54979015714476
4,3,0,11.487188451141305
4,4,0,0.0
4,5,0,7.374624948312818
4,6,0,2.1556599107167633
4,7,0,13.272271071915387
4,8,0,8.695227886205572
4,9,0,4.836839841063267
4,10,0,17.75774561220969
4,11,0,16.101555906696134
4,12,0,18.22523811367431
4,13,0,9.865082710772048
4,14,0,13.391552810076863
4,15,0,7.532197711276976
4,16,0,19.720434021277125
4,17,0,9.699654906649583
