osm_id,name,type,other_tags
"6268739",,restriction,"""restriction""=>""no_left_turn"""
"6268743",,restriction,"""restriction""=>""no_right_turn"""
"6268744",,restriction,"""restriction""=>""no_right_turn"""
"6268745",,restriction,"""restriction""=>""no_u_turn"""
"6268746",,restriction,"""restriction""=>""no_right_turn"""
"6268748",,restriction,"""restriction""=>""no_u_turn"""
"6268752",,restriction,"""restriction""=>""no_right_turn"""
"6268753",,restriction,"""restriction""=>""no_u_turn"""
"6356034",,restriction,"""restriction""=>""no_right_turn"""
"6719379",The Baycourt,site,"""site""=>""residential"""
"6875430",,restriction,"""restriction""=>""no_left_turn"""
"6875432",,restriction,"""restriction""=>""no_left_turn"""
"6877086",,restriction,"""restriction""=>""no_u_turn"""
"6890832",,restriction,"""restriction""=>""no_left_turn"""
"6894925",,restriction,"""restriction""=>""no_u_turn"""
"6894936",,restriction,"""restriction""=>""no_u_turn"""
"6895333",,restriction,"""restriction""=>""no_left_turn"""
"6895334",,restriction,"""restriction""=>""no_u_turn"""
"6895340",,restriction,"""restriction""=>""no_u_turn"""
"6899070",,restriction,"""restriction""=>""no_left_turn"""
"6899072",,restriction,"""restriction""=>""no_u_turn"""
"6899074",,restriction,"""restriction""=>""no_u_turn"""
"6899075",,restriction,"""restriction""=>""no_u_turn"""
"6899077",,restriction,"""restriction""=>""no_straight_on"""
"6899083",,restriction,"""restriction""=>""no_u_turn"""
"6899633",,restriction,"""restriction""=>""no_u_turn"""
"6899634",,restriction,"""restriction""=>""no_u_turn"""
"6899635",,restriction,"""restriction""=>""no_u_turn"""
"6899636",,restriction,"""restriction""=>""no_u_turn"""
"6900083",,restriction,"""restriction""=>""no_u_turn"""
"6900084",,restriction,"""restriction""=>""no_right_turn"""
"6900085",,restriction,"""restriction""=>""no_u_turn"""
"6913010",,restriction,"""restriction""=>""only_straight_on"""
"6913012",,restriction,"""restriction""=>""only_straight_on"""
"6913015",,restriction,"""restriction""=>""only_straight_on"""
"6923681",,restriction,"""restriction""=>""no_left_turn"""
"6923682",,restriction,"""restriction""=>""no_left_turn"""
"6923735",,restriction,"""restriction""=>""no_left_turn"""
"6927354",,restriction,"""restriction""=>""no_left_turn"""
"6938487",,restriction,"""restriction""=>""no_left_turn"""
"6942984",,restriction,"""restriction""=>""no_left_turn"""
"6942985",,restriction,"""restriction""=>""no_left_turn"""
"6947113",,restriction,"""restriction""=>""no_left_turn"""
"6954594",,restriction,"""restriction""=>""no_left_turn"""
"6954595",,restriction,"""restriction""=>""no_right_turn"""
"6954949",,restriction,"""restriction""=>""no_right_turn"""
"6954950",,restriction,"""restriction""=>""no_left_turn"""
"6955205",,restriction,"""restriction""=>""no_left_turn"""
"6955208",,restriction,"""restriction""=>""no_right_turn"""
"6955212",,restriction,"""restriction""=>""no_left_turn"""
"6956818",,restriction,"""restriction""=>""no_u_turn"""
"6956819",,restriction,"""restriction""=>""no_u_turn"""
"6956822",,restriction,"""restriction""=>""no_u_turn"""
"6958367",,restriction,"""restriction""=>""no_left_turn"""
"6958451",,restriction,"""restriction""=>""no_left_turn"""
"6958452",,restriction,"""restriction""=>""no_left_turn"""
"6958454",,restriction,"""restriction""=>""no_left_turn"""
"6958455",,restriction,"""restriction""=>""no_left_turn"""
"6958484",,restriction,"""restriction""=>""no_left_turn"""
"6958721",,restriction,"""restriction""=>""no_left_turn"""
"6960560",,restriction,"""restriction""=>""no_right_turn"""
"6960561",,restriction,"""restriction""=>""no_left_turn"""
"6960562",,restriction,"""restriction""=>""no_left_turn"""
"6960563",,restriction,"""restriction""=>""no_left_turn"""
"6960954",,restriction,"""restriction""=>""no_left_turn"""
