experiment_id,module,param,r01_value,new_value,changed_vs_r01,is_allowed_diff
F25,controller,cleanItersAtEnd,keep,keep,False,False
F25,controller,compressionType,gzip,gzip,False,False
F25,controller,createGraphsInterval,0,0,False,False
F25,controller,createScoringFunctionType,IterationStarts,IterationStarts,False,False
F25,controller,dumpDataAtEnd,true,true,False,False
F25,controller,enableLinkToLinkRouting,false,false,False,False
F25,controller,eventsFileFormat,xml,xml,False,False
F25,controller,firstIteration,0,0,False,False
F25,controller,lastIteration,19,19,False,False
F25,controller,legDurationsInterval,1,1,False,False
F25,controller,legHistogramInterval,1,1,False,False
F25,controller,memoryObserverInterval,60,60,False,False
F25,controller,mobsim,qsim,qsim,False,False
F25,controller,outputDirectory,D:\Luan\2026-05\2_Singapore\matsim_routechoice_7_6d\outputs\R01_rc_min,D:\Luan\2026-05\2_Singapore\matsim_demand_7_6f_1\outputs\F25_rc_min,True,True
F25,controller,overwriteFiles,deleteDirectoryIfExists,deleteDirectoryIfExists,False,False
F25,controller,routingAlgorithmType,SpeedyALT,SpeedyALT,False,False
F25,controller,runId,R01_rc_min,F25_rc_min,True,True
F25,controller,snapshotFormat,,,False,False
F25,controller,writeEventsInterval,0,0,False,False
F25,controller,writePlansInterval,0,0,False,False
F25,controller,writeSnapshotsInterval,0,0,False,False
F25,controller,writeTripsInterval,0,0,False,False
F25,counts,analyzedModes,car,car,False,False
F25,counts,averageCountsOverIterations,5,5,False,False
F25,counts,countsScaleFactor,1.0,1.0,False,False
F25,counts,distanceFilter,null,null,False,False
F25,counts,distanceFilterCenterNode,null,null,False,False
F25,counts,filterModes,false,false,False,False
F25,counts,inputCRS,null,null,False,False
F25,counts,inputCountsFile,null,null,False,False
F25,counts,outputformat,txt,txt,False,False
F25,counts,writeCountsInterval,10,10,False,False
F25,dsim,endTime,24:00:00,24:00:00,False,False
F25,dsim,linkDynamics,PassingQ,PassingQ,False,False
F25,dsim,networkModes,car,car,False,False
F25,dsim,partitioning,bisect,bisect,False,False
F25,dsim,startTime,00:00:00,00:00:00,False,False
F25,dsim,stuckTime,30.0,30.0,False,False
F25,dsim,threads,0,0,False,False
F25,dsim,trafficDynamics,kinematicWaves,kinematicWaves,False,False
F25,dsim,vehicleBehavior,teleport,teleport,False,False
F25,eventsManager,estimatedNumberOfEvents,null,null,False,False
F25,eventsManager,eventsQueueSize,131072,131072,False,False
F25,eventsManager,numberOfThreads,null,null,False,False
F25,eventsManager,oneThreadPerHandler,false,false,False,False
F25,eventsManager,synchronizeOnSimSteps,true,true,False,False
F25,facilities,facilitiesSource,none,none,False,False
F25,facilities,idPrefix,f_auto_,f_auto_,False,False
F25,facilities,inputCRS,null,null,False,False
F25,facilities,inputFacilitiesFile,null,null,False,False
F25,facilities,inputFacilityAttributesFile,null,null,False,False
F25,facilities,insistingOnUsingDeprecatedFacilitiesAttributeFile,false,false,False,False
F25,global,coordinateSystem,EPSG:3414,EPSG:3414,False,False
F25,global,defaultDelimiter,;,;,False,False
F25,global,insistingOnDeprecatedConfigVersion,true,true,False,False
F25,global,numberOfThreads,8,8,False,False
F25,global,randomSeed,4711,4711,False,False
F25,hermes,endTime,30:00:00,30:00:00,False,False
F25,hermes,flowCapacityFactor,1.0,1.0,False,False
F25,hermes,mainMode,car,car,False,False
F25,hermes,storageCapacityFactor,1.0,1.0,False,False
F25,hermes,stuckTime,10,10,False,False
F25,hermes,useDeterministicPt,false,false,False,False
F25,households,inputFile,null,null,False,False
F25,households,inputHouseholdAttributesFile,null,null,False,False
F25,households,insistingOnUsingDeprecatedHouseholdsAttributeFile,false,false,False,False
F25,linkStats,averageLinkStatsOverIterations,1,1,False,False
F25,linkStats,writeLinkStatsInterval,1,1,False,False
F25,network,inputCRS,null,null,False,False
F25,network,inputChangeEventsFile,null,null,False,False
F25,network,inputNetworkFile,D:\Luan\2026-05\2_Singapore\reports\matsim_network\network_cleaned.xml.gz,D:\Luan\2026-05\2_Singapore\reports\matsim_network\network_cleaned.xml.gz,False,False
F25,network,laneDefinitionsFile,null,null,False,False
F25,network,timeVariantNetwork,false,false,False,False
F25,planInheritance,enabled,false,false,False,False
F25,plans,activityDurationInterpretation,tryEndTimeThenDuration,tryEndTimeThenDuration,False,False
F25,plans,handlingOfPlansWithoutRoutingMode,reject,reject,False,False
F25,plans,inputCRS,null,null,False,False
F25,plans,inputPersonAttributesFile,null,null,False,False
F25,plans,inputPlansFile,D:\Luan\2026-05\2_Singapore\reports\matsim_departure_6_3_3a\population_lambda_0p075.xml.gz,D:\Luan\2026-05\2_Singapore\matsim_demand_7_6f_1\populations\pop_F25\population_lambda_0p075.xml.gz,True,True
F25,plans,insistingOnUsingDeprecatedPersonAttributeFile,false,false,False,False
F25,plans,networkRouteType,LinkNetworkRoute,LinkNetworkRoute,False,False
F25,plans,removingUnnecessaryPlanAttributes,false,false,False,False
F25,plans,tripDurationHandling,ignoreDelays,ignoreDelays,False,False
F25,qsim,delayInstantTeleportationArrivals,true,true,False,False
F25,qsim,endTime,undefined,undefined,False,False
F25,qsim,filterSnapshots,no,no,False,False
F25,qsim,flowCapacityFactor,1.0,1.0,False,False
F25,qsim,insertingWaitingVehiclesBeforeDrivingVehicles,true,true,False,False
F25,qsim,isRestrictingSeepage,true,true,False,False
F25,qsim,isSeepModeStorageFree,false,false,False,False
F25,qsim,linkDynamics,FIFO,FIFO,False,False
F25,qsim,linkWidth,30.0,30.0,False,False
F25,qsim,mainMode,car,car,False,False
F25,qsim,nodeOffset,0.0,0.0,False,False
F25,qsim,notifyAboutStuckVehicles,false,false,False,False
F25,qsim,numberOfThreads,8,8,False,False
F25,qsim,personInitializedEvents,none,none,False,False
F25,qsim,removeStuckVehicles,false,false,False,False
F25,qsim,seepMode,bike,bike,False,False
F25,qsim,simEndtimeInterpretation,null,null,False,False
